"DMA Code","% of US","Designated Market Area (DMA)","Rank","TV Homes"
"662","0.100","Abilene-Sweetwater","164","114080"
"525","0.131","Albany, GA","150","150110"
"532","0.473","Albany-Schenectady-Troy","58","540050"
"790","0.606","Albuquerque-Santa Fe","47","691450"
"644","0.078","Alexandria, LA","179","89280"
"583","0.015","Alpena","208","16910"
"634","0.173","Amarillo","130","197110"
"743","0.137","Anchorage","145","156280"
"524","2.038","Atlanta","9","2326840"
"520","0.226","Augusta-Aiken","113","257730"
"635","0.618","Austin","45","705280"
"800","0.194","Bakersfield","126","221740"
"512","0.950","Baltimore","27","1085070"
"537","0.121","Bangor","155","138040"
"716","0.289","Baton Rouge","94","329620"
"692","0.146","Beaumont-Port Arthur","141","167110"
"821","0.055","Bend, OR","192","62950"
"756","0.096","Billings","168","109730"
"746","0.112","Biloxi-Gulfport","160","128300"
"502","0.117","Binghamton","157","133420"
"630","0.628","Birmingham (Ann and Tusc)","42","717530"
"559","0.118","Bluefield-Beckley-Oak Hill","156","134410"
"757","0.227","Boise","111","259090"
"506","2.073","Boston (Manchester)","7","2366690"
"736","0.069","Bowling Green","182","78780"
"514","0.554","Buffalo","52","632150"
"523","0.278","Burlington-Plattsburgh","97","316910"
"754","0.059","Butte-Bozeman","187","67180"
"767","0.048","Casper-Riverton","197","55270"
"637","0.300","Cedar Rapids-Wtrlo-IWC&Dub","90","342610"
"648","0.332","Champaign&Sprngfld-Decatur","83","378720"
"519","0.277","Charleston, SC","98","316080"
"564","0.399","Charleston-Huntington","65","455490"
"517","0.995","Charlotte","25","1136420"
"584","0.065","Charlottesville","183","74340"
"575","0.310","Chattanooga","87","353710"
"759","0.049","Cheyenne-Scottsbluff","195","56350"
"602","3.052","Chicago","3","3484800"
"868","0.168","Chico-Redding","131","191500"
"515","0.786","Cincinnati","35","897890"
"598","0.093","Clarksburg-Weston","170","106480"
"510","1.301","Cleveland-Akron (Canton)","18","1485140"
"752","0.301","Colorado Springs-Pueblo","89","343990"
"546","0.349","Columbia, SC","77","398510"
"604","0.152","Columbia-Jefferson City","138","173640"
"522","0.190","Columbus, GA (Opelika, AL)","127","216920"
"535","0.815","Columbus, OH","32","930460"
"673","0.162","Columbus-Tupelo-W Pnt-Hstn","133","184990"
"600","0.178","Corpus Christi","129","203730"
"623","2.267","Dallas-Ft. Worth","5","2588020"
"682","0.266","Davenport-R.Island-Moline","99","303800"
"542","0.436","Dayton","63","498270"
"751","1.372","Denver","17","1566460"
"679","0.375","Des Moines-Ames","72","427860"
"505","1.617","Detroit","11","1845920"
"606","0.094","Dothan","169","107110"
"676","0.149","Duluth-Superior","139","169610"
"765","0.297","El Paso (Las Cruces)","91","339130"
"565","0.084","Elmira (Corning)","174","95530"
"516","0.136","Erie","146","155190"
"801","0.206","Eugene","121","235570"
"802","0.052","Eureka","194","59610"
"649","0.249","Evansville","104","284040"
"745","0.033","Fairbanks","202","37920"
"724","0.214","Fargo-Valley City","117","243890"
