pop1900,pop1910,pop1920,pop1930,pop1940,pop1950,pop1960,pop1970,pop1980,pop1990,"fips","name"
76212168,92228496,106021537,123202624,132164569,151325798,179323175,203211926,226545805,248709873,"00000","US United States"
1828697,2138093,2348174,2646248,2832961,3061743,3266740,3444165,3893888,4040587,"01000","AL Alabama"
17915,20038,18908,19694,20977,18186,18739,24460,32259,34222,"01001","AL Autauga County"
13194,18178,20730,28289,32324,40997,49088,59382,78556,98280,"01003","AL Baldwin County"
35152,32728,32067,32425,32722,28892,24700,22543,24756,25417,"01005","AL Barbour County"
18498,22791,23144,20780,20155,17987,14357,13812,15723,16576,"01007","AL Bibb County"
23119,21456,25538,28020,29490,28975,25449,26853,36459,39248,"01009","AL Blount County"
31944,30196,25333,20016,19810,16054,13462,11824,10596,11042,"01011","AL Bullock County"
25761,29030,29531,30195,32447,29228,24560,22007,21680,21892,"01013","AL Butler County"
34874,39115,47822,55611,63319,79539,95878,103092,119761,116034,"01015","AL Calhoun County"
32554,36056,41201,39313,42146,39528,37828,36356,39191,36876,"01017","AL Chambers County"
21096,20226,20862,20219,19928,17634,16303,15606,18760,19543,"01019","AL Cherokee County"
16522,23187,22770,24579,27955,26922,25693,25180,30612,32458,"01021","AL Chilton County"
18136,18483,20753,20513,20195,19152,17870,16589,16839,16018,"01023","AL Choctaw County"
27790,30987,26409,26016,27636,26548,25738,26724,27702,27240,"01025","AL Clarke County"
17099,21006,22645,17768,16907,13929,12400,12636,13703,13252,"01027","AL Clay County"
13206,13385,13360,12877,13629,11904,10911,10996,12595,12730,"01029","AL Cleburne County"
20972,26119,30070,32556,31987,30720,30583,34872,38533,40240,"01031","AL Coffee County"
22341,24802,31997,29860,34093,39561,46506,49632,54519,51666,"01033","AL Colbert County"
17514,21433,24593,25429,25489,21776,17762,15645,15884,14054,"01035","AL Conecuh County"
16144,16634,14839,12460,13460,11766,10726,10662,11377,11063,"01037","AL Coosa County"
15346,32124,38103,41356,42417,40373,35631,34079,36850,36478,"01039","AL Covington County"
19668,23313,23017,23656,23631,18981,14909,13188,14110,13635,"01041","AL Crenshaw County"
17849,28321,33034,41051,47343,49046,45572,52445,61642,67613,"01043","AL Cullman County"
21189,21608,22711,23175,22685,20828,31066,52938,47821,49633,"01045","AL Dale County"
54657,53401,54697,55094,55245,56270,56667,55296,53981,48130,"01047","AL Dallas County"
23558,28261,34426,40104,43075,45048,41417,41981,53658,54651,"01049","AL DeKalb County"
26099,28245,28085,34280,34546,31649,30524,33535,43390,49210,"01051","AL Elmore County"
11320,18889,22464,27963,30671,31443,33511,34906,38440,35518,"01053","AL Escambia County"
27361,39109,47275,63399,72580,93892,96980,94144,103057,99840,"01055","AL Etowah County"
14132,16248,18365,18443,21651,19388,16148,16252,18809,17962,"01057","AL Fayette County"
16511,19369,22011,25372,27552,25705,21988,23933,28350,27814,"01059","AL Franklin County"
19096,26230,29315,30104,29172,25899,22310,21924,24253,23647,"01061","AL Geneva County"
24182,22717,18133,19745,19185,16482,13600,10650,11021,10153,"01063","AL Greene County"
31011,27883,24289,26265,25533,20832,19537,15888,15604,15498,"01065","AL Hale County"
36147,20943,21547,22820,21912,18674,15286,13254,15302,15374,"01067","AL Henry County"
.,32414,37334,45935,45665,46522,50718,56574,74632,81331,"01069","AL Houston County"
30508,32918,35864,36881,41802,38998,36681,39202,51407,47796,"01071","AL Jackson County"
140420,226476,310054,431493,459930,558928,634864,644991,671324,651525,"01073","AL Jefferson County"
16084,17487,18149,18001,19708,16441,14271,14335,16453,15715,"01075","AL Lamar County"
26559,30936,39556,41130,46230,54179,61622,68111,80546,79661,"01077","AL Lauderdale County"
20124,21984,24307,26942,27880,27128,24501,27281,30170,31513,"01079","AL Lawrence County"
31826,32867,32821,36063,36455,45073,49754,61268,76283,87146,"01081","AL Lee County"
22387,26880,31341,36629,35642,35766,36513,41699,46005,54135,"01083","AL Limestone County"
35651,31894,25406,22878,22661,18018,15417,12897,13253,12658,"01085","AL Lowndes County"
23126,26049,23561,27103,27654,30561,26717,24841,26829,24928,"01087","AL Macon County"
43702,47041,51268,64623,66317,72903,117348,186540,196966,238912,"01089","AL Madison County"
38315,39923,36065,36426,35736,29494,27098,23819,25047,23084,"01091","AL Marengo County"
14494,17495,22008,25967,28776,27264,21837,23788,30041,29830,"01093","AL Marion County"
23289,28553,32669,39802,42395,45090,48018,54211,65622,70832,"01095","AL Marshall County"
62740,80854,100117,118363,141974,231105,314301,317308,364980,378643,"01097","AL Mobile County"
23666,27155,28884,30070,29465,25732,22372,20883,22651,23968,"01099","AL Monroe County"
72047,82178,80853,98671,114420,138965,169210,167790,197038,209085,"01101","AL Montgomery County"
28820,33781,40196,46176,48148,52924,60454,77306,90231,100043,"01103","AL Morgan County"
31783,31222,25373,26385,26610,20439,17358,15388,15012,12759,"01105","AL Perry County"
24402,25055,25353,24902,27671,24349,21882,20326,21481,20699,"01107","AL Pickens County"
29172,30815,31631,32240,32493,30608,25987,25038,28050,27595,"01109","AL Pike County"
21647,24659,27064,26861,25516,22513,19477,18331,20075,19881,"01111","AL Randolph County"
27083,25937,27448,27377,35775,40364,46351,45394,47356,46860,"01113","AL Russell County"
19425,20715,23383,24510,27336,26687,25388,27956,41205,50009,"01115","AL St. Clair County"
23684,26949,27097,27576,28962,30362,32132,38037,66298,99358,"01117","AL Shelby County"
32710,28699,25569,26929,27321,23610,20041,16974,16908,16174,"01119","AL Sumter County"
35773,37921,41005,45241,51832,63639,65495,65280,73826,74107,"01121","AL Talladega County"
29675,31034,29744,31188,35270,35074,35007,33840,38676,38826,"01123","AL Tallapoosa County"
36147,47559,53680,64153,76036,94092,109047,116029,137541,150522,"01125","AL Tuscaloosa County"
25162,37013,50593,59445,64201,63769,54211,56246,68660,67670,"01127","AL Walker County"
11134,14454,14279,16365,16188,15612,15372,16241,16821,16694,"01129","AL Washington County"
35631,33810,31080,24880,26279,23476,18739,16303,14755,13568,"01131","AL Wilcox County"
9554,12855,14378,15596,18746,18250,14858,16654,21953,22053,"01133","AL Winston County"
63592,64356,55036,59278,72524,128643,226167,300382,401851,550043,"02000","AK Alaska"
.,.,.,.,.,.,.,.,.,2464,"02013","AK Aleutians East Borough"
.,.,.,.,.,.,6011,8057,7768,9478,"02016","AK Aleutians West C.A."
.,.,.,.,.,.,82833,124542,174431,226338,"02020","AK Anchorage Borough"
.,.,.,.,.,.,.,503,.,.,"02030","AK Angoon"
.,.,.,.,.,.,5537,7579,10999,13656,"02050","AK Bethel Census Area"
.,.,.,.,.,.,.,1147,1094,1410,"02060","AK Bristol Bay Borough"
.,.,.,.,.,.,1759,1857,.,.,"02060.1","AK Cordova-McCarthy"
.,.,.,.,.,.,4024,3485,4616,4012,"02070","AK Dillingham Census Area"
.,.,.,.,.,.,43412,45864,53983,77720,"02090","AK Fairbanks North Star Bor."
.,.,.,.,.,.,.,1504,1680,2117,"02100","AK Haines Borough"
.,.,.,.,.,.,9745,13556,19528,26751,"02110","AK Juneau Borough"
.,.,.,.,.,.,6097,14250,25282,40802,"02122","AK Kenai Peninsula Borough"
.,.,.,.,.,.,10070,10041,11316,13828,"02130","AK Ketchikan Gateway Borough"
.,.,.,.,.,.,7174,9409,9939,13309,"02150","AK Kodiak Island Borough"
.,.,.,.,.,.,2301,2306,.,.,"02160","AK Kuskokwim"
.,.,.,.,.,.,.,.,.,1668,"02164","AK Lake and Peninsula Bor."
.,.,.,.,.,.,2945,.,.,.,"02165.1","AK Lynn Canal-Icy Straits"
.,.,.,.,.,.,5188,6509,17816,39683,"02170","AK Matanuska-Susitna Borough"
.,.,.,.,.,.,6091,5749,6537,8288,"02180","AK Nome Census Area"
.,.,.,.,.,.,2133,2663,4199,5979,"02185","AK North Slope Borough"
.,.,.,.,.,.,3560,4434,4831,6113,"02188","AK Northwest Arctic Borough"
.,.,.,.,.,.,.,1676,.,.,"02190","AK Outer Ketchikan"
.,.,.,.,.,.,1772,2106,3822,6278,"02201","AK Prince of Wales- C.A."
.,.,.,.,.,.,2956,2336,.,.,"02210","AK Seward"
.,.,.,.,.,.,6690,6109,7803,8588,"02220","AK Sitka Borough"
.,.,.,.,.,.,.,2157,3478,4385,"02231","AK Skagway-Yakutat- C.A."
.,.,.,.,.,.,.,4179,5676,5913,"02240","AK Southeast Fairbanks C.A."
.,.,.,.,.,.,1619,1684,.,.,"02250","AK Upper Yukon"
.,.,.,.,.,.,2844,3098,8348,9952,"02261","AK Valdez-Cordova C.A."
.,.,.,.,.,.,3128,3917,4665,5791,"02270","AK Wade Hampton Census Area"
.,.,.,.,.,.,4181,4913,6167,7042,"02280","AK Wrangell-Petersburg C.A."
.,.,.,.,.,.,4097,4752,7873,8478,"02290","AK Yukon-Koyukuk Census Area"
.,15216,17402,19304,25241,28203,.,.,.,.,"02900.1","AK First Division"
.,12351,10890,10127,11877,12272,.,.,.,.,"02900.2","AK Second Division"
.,20078,16231,16309,19312,59518,.,.,.,.,"02900.3","AK Third Division"
.,16711,10513,13538,16094,28650,.,.,.,.,"02900.4","AK Fourth Division"
30569,.,.,.,.,.,.,.,.,.,"02950.1","AK Northern District"
33023,.,.,.,.,.,.,.,.,.,"02950.2","AK Southern District"
122931,204354,334162,435573,499261,749587,1302161,1770900,2718215,3665228,"04000","AZ Arizona"
8297,9196,13196,17765,24095,27767,30438,32298,52108,61591,"04001","AZ Apache County"
9251,34591,46465,40998,34627,31488,55039,61910,85686,97624,"04003","AZ Cochise County"
5514,8130,9982,14064,18770,23910,41857,48326,75008,96591,"04005","AZ Coconino County"
4973,16348,25678,31016,23867,24158,25745,29255,37080,40216,"04007","AZ Gila County"
14162,23999,10148,10373,12113,12985,14045,16578,22862,26554,"04009","AZ Graham County"
.,.,15362,9886,8698,12805,11509,10330,11406,8008,"04011","AZ Greenlee County"
.,.,.,.,.,.,.,.,.,13844,"04012","AZ La Paz County"
20457,34488,89576,150970,186193,331770,663510,967522,1509052,2122101,"04013","AZ Maricopa County"
3426,3773,5259,5572,8591,8510,7736,25857,55865,93497,"04015","AZ Mohave County"
8829,11471,16077,21202,25309,29446,37994,47715,67629,77658,"04017","AZ Navajo County"
14689,22818,34680,55676,72838,141216,265660,351667,531443,666880,"04019","AZ Pima County"
7779,9045,16130,22081,28841,43191,62673,67916,90918,116379,"04021","AZ Pinal County"
4545,6766,12689,9684,9482,9344,10808,13966,20459,29676,"04023","AZ Santa Cruz County"
13799,15996,24016,28470,26511,24991,28912,36733,68145,107714,"04025","AZ Yavapai County"
4145,7733,14904,17816,19326,28006,46235,60827,90554,106895,"04027","AZ Yuma County"
1311564,1574449,1752204,1854482,1949387,1909511,1786272,1923295,2286435,2350725,"05000","AR Arkansas"
12973,16103,21483,22300,24437,23665,23355,23347,24175,21653,"05001","AR Arkansas County"
19734,25268,23410,25151,26785,25660,24220,24976,26538,24319,"05003","AR Ashley County"
9298,10389,10216,9519,10281,11683,9943,15319,27409,31186,"05005","AR Baxter County"
31611,33389,36253,35253,36148,38076,36272,50476,78115,97499,"05007","AR Benton County"
16396,14318,16098,14937,15860,16260,16116,19073,26067,28297,"05009","AR Boone County"
9651,14518,15970,17494,18097,15987,14029,12778,13803,11793,"05011","AR Bradley County"
8539,9894,11807,9752,9636,7132,5991,5573,6079,5826,"05013","AR Calhoun County"
18848,16829,17786,15820,14737,13244,11284,12301,16203,18654,"05015","AR Carroll County"
14528,21987,21749,22646,27452,22306,18990,18164,17793,15713,"05017","AR Chicot County"
21289,23686,25632,24932,24402,22998,20950,21537,23326,21437,"05019","AR Clark County"
15886,23690,27276,27278,28386,26674,21258,18771,20616,18107,"05021","AR Clay County"
9628,11903,12696,11373,13134,11487,9059,10349,16909,19411,"05023","AR Cleburne County"
11620,13481,12260,12744,12570,8956,6944,6605,7868,7781,"05025","AR Cleveland County"
22077,23820,27670,27320,29822,28770,26400,25952,26644,25691,"05027","AR Columbia County"
19772,22729,22578,21949,21536,18137,15430,16805,19505,19151,"05029","AR Conway County"
19505,27627,37541,44740,47200,50613,47303,52068,63239,68956,"05031","AR Craighead County"
21270,23942,25739,22549,23920,22727,21318,25677,36892,42493,"05033","AR Crawford County"
14529,22447,29309,39717,42473,47184,47564,48106,49499,49939,"05035","AR Crittenden County"
11051,14042,18579,25723,26046,24757,19551,19783,20434,19225,"05037","AR Cross County"
11518,12621,14424,14671,14471,12416,10522,10022,10515,9614,"05039","AR Dallas County"
11511,15274,20297,21814,27160,25155,20770,18761,19760,16798,"05041","AR Desha County"
19451,21960,21822,19928,19831,17959,15213,15157,17910,17369,"05043","AR Drew County"
20780,23708,27681,28381,25880,25289,24303,31572,46192,60006,"05045","AR Faulkner County"
17395,20638,19364,15762,15683,12358,10213,11301,14705,14897,"05047","AR Franklin County"
12917,12193,11182,10834,10253,9187,6657,7699,9975,10037,"05049","AR Fulton County"
18773,27271,25785,36031,41664,47102,46697,54131,70531,73397,"05051","AR Garland County"
7671,9425,10710,9834,10477,9024,8294,9711,13008,13948,"05053","AR Grant County"
16979,23852,26105,26127,30204,29149,25198,24765,30744,31804,"05055","AR Greene County"
24101,28285,31602,30847,32770,25080,19661,19308,23635,21621,"05057","AR Hempstead County"
12748,15022,17784,18105,18916,22181,21893,21963,26819,26115,"05059","AR Hot Spring County"
14076,16898,18565,17489,16621,13342,10878,11412,13459,13569,"05061","AR Howard County"
22557,24776,23976,24225,25643,23488,20048,22723,30147,31192,"05063","AR Independence County"
13506,14561,13871,12872,12834,9953,6766,7381,10768,11364,"05065","AR Izard County"
18383,23501,25446,27943,26427,25912,22843,20452,21646,18944,"05067","AR Jackson County"
40972,52734,60330,64154,65101,76075,81373,85329,90718,85487,"05069","AR Jefferson County"
17448,19698,21062,19289,18795,16138,12421,13630,17423,18221,"05071","AR Johnson County"
10594,13741,15522,16934,16851,13203,11030,10018,10213,9643,"05073","AR Lafayette County"
16491,20001,22098,21663,22651,21303,17267,16320,18447,17457,"05075","AR Lawrence County"
19409,24252,28852,26637,26810,24322,21001,18884,15539,13053,"05077","AR Lee County"
13389,15118,18774,20250,19709,17079,14447,12913,13369,13690,"05079","AR Lincoln County"
13731,13597,16301,15515,15932,11690,9211,11194,13952,13966,"05081","AR Little River County"
20563,26350,25866,24110,25967,20260,15957,16789,20144,20557,"05083","AR Logan County"
22544,27983,33400,33759,29802,27278,24551,26249,34518,39268,"05085","AR Lonoke County"
19864,16056,14918,13334,14531,11734,9068,9453,11373,11618,"05087","AR Madison County"
11377,10203,10154,8876,9464,8609,6041,7000,11334,12001,"05089","AR Marion County"
17558,19555,24021,30586,31874,32614,31686,33385,37766,38467,"05091","AR Miller County"
16384,30468,47320,69289,80217,82375,70174,62060,59517,57525,"05093","AR Mississippi County"
16816,19907,21601,20651,21133,19540,17327,15657,14052,11333,"05095","AR Monroe County"
9444,12455,11112,10768,8876,6680,5370,5821,7771,7841,"05097","AR Montgomery County"
16609,19344,21934,20407,19869,14781,10700,10111,11097,10101,"05099","AR Nevada County"
12538,10612,11199,10564,10881,8685,5963,5844,7756,7666,"05101","AR Newton County"
20892,21774,20636,29890,31151,33051,31641,30896,30541,30574,"05103","AR Ouachita County"
7294,9402,9905,7695,8392,5978,4927,5634,7266,7969,"05105","AR Perry County"
26561,33535,44530,40683,45970,46254,43997,40046,34772,28838,"05107","AR Phillips County"
10301,12565,12397,11792,11786,10032,7864,8711,10373,10086,"05109","AR Pike County"
7025,12791,20848,29695,37670,39311,30834,26822,27032,24664,"05111","AR Poinsett County"
18352,17216,16412,14857,15832,14182,11981,13297,17007,17347,"05113","AR Polk County"
21715,24527,27153,26547,25682,23291,21177,28607,39021,45883,"05115","AR Pope County"
11875,13853,17447,15187,15304,13768,10515,10249,10140,9518,"05117","AR Prairie County"
63179,86751,109464,137727,156085,196685,242980,287189,340613,349660,"05119","AR Pulaski County"
17156,18987,17713,16871,18319,15982,12520,12645,16834,16558,"05121","AR Randolph County"
17157,22548,28385,33394,36043,36841,33303,30799,30858,28497,"05123","AR St. Francis County"
13122,16657,16781,15660,19163,23816,28956,36107,53161,64183,"05125","AR Saline County"
13183,14302,13232,11803,13300,10057,7297,8207,9685,10205,"05127","AR Scott County"
11988,14825,14590,11056,11942,10424,8124,7731,8847,7841,"05129","AR Searcy County"
36935,52278,56739,54426,62809,64202,66685,79237,95172,99590,"05131","AR Sebastian County"
16339,16616,18301,16364,15248,12293,10156,11272,14060,13637,"05133","AR Sevier County"
12199,11688,11132,10715,11497,8999,6319,8233,14607,14109,"05135","AR Sharp County"
8100,8946,8779,7993,8603,7662,6294,6838,9022,9775,"05137","AR Stone County"
22495,30723,29691,55800,50461,49686,49518,45428,48573,46719,"05139","AR Union County"
11220,13509,13666,11962,12518,9687,7228,8275,13357,14008,"05141","AR Van Buren County"
34256,33889,35468,39255,41114,49979,55797,77370,100494,113409,"05143","AR Washington County"
24864,28574,34603,38269,37176,38040,32745,39253,50835,54676,"05145","AR White County"
16304,20049,21547,22682,22133,18957,13954,11566,11222,9520,"05147","AR Woodruff County"
22750,26323,25655,21313,20970,14057,11940,14208,17026,17759,"05149","AR Yell County"
1485053,2377549,3426861,5677251,6907387,10586223,15717204,19953134,23667902,29760021,"06000","CA California"
130197,246131,344177,474883,513011,740315,908209,1073184,1105379,1279182,"06001","CA Alameda County"
509,309,243,241,323,241,397,484,1097,1113,"06003","CA Alpine County"
11116,9086,7793,8494,8973,9151,9990,11821,19314,30039,"06005","CA Amador County"
17117,27301,30030,34093,42840,64930,82030,101969,143851,182120,"06007","CA Butte County"
11200,9171,6183,6008,8221,9902,10289,13585,20710,31998,"06009","CA Calaveras County"
7364,7732,9290,10258,9788,11651,12075,12430,12791,16275,"06011","CA Colusa County"
18046,31674,53889,78608,100450,298984,409030,558389,656380,803732,"06013","CA Contra Costa County"
2408,2417,2759,4739,4745,8078,17771,14580,18217,23460,"06015","CA Del Norte County"
8986,7492,6426,8325,13229,16207,29390,43833,85812,125995,"06017","CA El Dorado County"
37862,75657,128779,144379,178565,276515,365945,413053,514621,667490,"06019","CA Fresno County"
5150,7172,11853,10935,12195,15448,17245,17521,21350,24798,"06021","CA Glenn County"
27104,33857,37413,43233,45812,69241,104892,99692,108514,119118,"06023","CA Humboldt County"
.,13591,43453,60903,59740,62975,72105,74492,92110,109303,"06025","CA Imperial County"
4377,6974,7031,6555,7625,11658,11684,15571,17895,18281,"06027","CA Inyo County"
16480,37715,54843,82570,135124,228309,291984,329162,403089,543477,"06029","CA Kern County"
