"Market","Station","Channel.RF.","Year","Power.kW","Location","Latitude","Longitude","Year.Start","Year.End"
"Birmingham - Tuscaloosa - Anniston, AL","WTTO","21 (28)","1995",765,"33.484583; -86.807083",33.484583,-86.807083,1995,NA
"Birmingham - Tuscaloosa - Anniston, AL","WABM","68 (36)","2001",885,"33.484583; -86.807056",33.484583,-86.807056,2001,NA
"Birmingham - Tuscaloosa - Anniston, AL","WDBB","17 (18)","1995",NA,"",NA,NA,1995,NA
"Birmingham - Tuscaloosa - Anniston, AL","WBMA-LD","58 (40)","2014",885,"33.484583; -86.807056",33.484583,-86.807056,2014,NA
"Mobile, AL & Pensacola, FL","WEAR-TV","3 (17)","1997",1000,"30.612611; -87.644889",30.612611,-87.644889,1997,NA
"Mobile, AL & Pensacola, FL","WPMI-TV","15 (15)","2012",1000,"30.61139; -87.607333",30.61139,-87.607333,2012,NA
"Mobile, AL & Pensacola, FL","WFGX","35 (50)","2001",1000,"30.612611; -87.644889",30.612611,-87.644889,2001,NA
"Mobile, AL & Pensacola, FL","WJTC","44 (45)","2012",1000,"30.587972; -87.553528",30.587972,-87.553528,2012,NA
"Little Rock, AR","KATV","7 (22)","2014",1000,"34.797417; -92.489111",34.797417,-92.489111,2014,NA
"Bakersfield, CA","KBAK-TV","29 (33)","2013",110,"35.452806; -118.591139",35.452806,-118.591139,2013,NA
"Bakersfield, CA","KBFX-CD","58 (29)","2013",NA,"",NA,NA,2013,NA
"Chico - Redding","KRCR-TV","7 (7)","2017",25,"40.602722; -122.650056",40.602722,-122.650056,2017,NA
"Chico - Redding","KXVU-LP","17","2017",40,"39.96361; -121.71056",39.96361,-121.71056,2017,NA
"Chico - Redding","KCVU","20 (20)","2017",172,"39.961889; -121.711972",39.961889,-121.711972,2017,NA
"Chico - Redding","KRVU-LD","21 (21)","2017",NA,"",NA,NA,2017,NA
"Chico - Redding","KZVU-LD","22 (22)","2017",NA,"",NA,NA,2017,NA
"Chico - Redding","KUCO-LP","27","2017",60,"",NA,NA,2017,NA
"Chico - Redding","KKTF-LD","30 (30)","2017",15,"",NA,NA,2017,NA
"Eureka, California & Arcata","KAEF-TV","23 (22)","2017",45,"40.728306; -123.972611",40.728306,-123.972611,2017,NA
"Eureka, California & Arcata","KBVU","28 (28)","2017",50,"40.728306; -123.972611",40.728306,-123.972611,2017,NA
"Eureka, California & Arcata","KECA-LD","29 (29)","2017",15,"",NA,NA,2017,NA
"Eureka, California & Arcata","KEUV-LP","31","2017",60,"",NA,NA,2017,NA
"Fresno & Visalia, CA","KMPH-TV","26 (28)","2013",219,"36.667194; -118.879222",36.667194,-118.879222,2013,NA
"Fresno & Visalia, CA","KFRE-TV","59 (36)","2013",360,"37.07694; -119.43361",37.07694,-119.43361,2013,NA
"Washington, D.C.","WJLA-TV","7 (7)","2014",52,"38.95028; -77.07972",38.95028,-77.07972,2014,NA
